"","Band","year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","PlasMassTOT","Mass"
"99","162-83043",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,495
"100","162-83044",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,535
"101","162-83057",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,635
"102","162-83059",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,630
"103","162-83060",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.025,630
"104","162-83061",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125,605
"105","162-83062",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,555
"106","162-83063",2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.019,600
"107","162-83827",2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,540
"108","162-83829",2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,750
"109","162-83831",2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,800
"110","162-83833",2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,665
"111","162-83834",2015,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,730
"112","162-83836",2015,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,725
"113","162-83837",2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,490
"114","162-83877",2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,675
"115","162-83878",2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,580
"116","162-83881",2015,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,685
"117","162-83882",2015,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.14,705
"118","162-83884",2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,655
"119","162-83909",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.6024,720
"120","162-83910",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7e-04,430
"121","162-83911",2017,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,540
"122","162-83912",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,745
"123","162-83913",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,490
"124","162-83914",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,495
"125","162-83915",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,565
"126","162-83917",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2622,470
"127","162-83918",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,712
"128","162-83919",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7708,839
